,question,year,gold_label,gold_context,gold_document_id,rag_pred,baseline_pred,retrieved_id
12612531,Fragility of the esophageal mucosa: a pathognomonic endoscopic sign of primary eosinophilic esophagitis?,2003,yes,"Primary eosinophilic esophagitis is characterized by fragile esophageal mucosa that readily tears in response to minor trauma during otherwise uneventful diagnostic endoscopy. This ""crêpe-paper"" sign may alert endoscopists to the presence of the disease when other mucosal alterations are lacking. Dilation is effective for patients with symptoms with minimal morbidity, despite development of disquieting lesions in response to the procedure.",12612531,yes,yes,12612531
26194560,Does cup-cage reconstruction with oversized cups provide initial stability in THA for osteoporotic acetabular fractures?,2015,yes,"The majority of acetabular components in this cohort were stable despite the small contact surface achieved between the component and pelvic bone. Three of 10 migrated in excess of the limits that predict later loosening in primary THA but it remains to be seen whether these limits apply to this selected group of frail osteoporotic patients. We continue to use this technique routinely to treat patients with the same indications, but since the analysis of these data we have added screw fixation of the acetabular component to the ischial tuberosity and the superior pubic ramus.",26194560,yes,yes,26194560
11079675,Pulmonary valve replacement in adults late after repair of tetralogy of fallot: are we operating too late?,2000,yes,"Right ventricular recovery following PVR for chronic significant pulmonary regurgitation after repair of TOF may be compromised in the adult population. In order to maintain adequate RV contractility, pulmonary valve implant in these patients should be considered before RV function deteriorates.",11079675,yes,yes,11079675
21459725,Xanthogranulomatous cholecystitis: a premalignant condition?,2011,no,"The expression of p53, PCNA and beta-catenin in XGC was significantly different from GBC and similar to chronic cholecystitis, thus indicating the inflammatory nature of XGC and may not support a premalignant nature of the lesion.",21459725,yes,yes,21459725
21172844,Does TDP-43 type confer a distinct pattern of atrophy in frontotemporal lobar degeneration?,2010,yes,"Although there are different patterns of atrophy across the different FTLD-TDP types, it appears that genetic and pathologic factors may also affect the patterns of atrophy.",21172844,yes,yes,21172844
17335331,"Diagnostic characteristics of child bipolar I disorder: does the ""Treatment of Early Age Mania (team)"" sample generalize?",2007,yes,"Generalization of the RCT sample was supported, because only 7.8% of Phenomenology subjects did not fit the RCT criteria. Nevertheless, because the RCT subjects were more severely ill, it is unclear if treatment findings from the RCT will be applicable to children with less severe mania.",17335331,yes,no,17335331
27581329,Estimation of basal metabolic rate in Chinese: are the current prediction equations applicable?,2016,yes,"To date, the newly developed Singapore equation is the most accurate BMR prediction equation in Chinese and is applicable for use in a large BMI range including those overweight and obese.",27581329,yes,yes,27581329
12765819,Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,2003,yes,"Although the exact mechanism of SSDH in this case is unclear, we speculate that this SSDH was a hematoma that migrated from the intracranial subdural space. Low CSF pressure because of continuous drainage and intrathecal thrombolytic therapy may have played an important role in the migration of the hematoma through the spinal canal. It is important to recognize the SSDH as a possible complication of the SAH accompanied with intracranial subdural hematoma.",12765819,yes,yes,12765819
24507422,Can shape analysis differentiate free-floating internal carotid artery thrombus from atherosclerotic plaque in patients evaluated with CTA for stroke or transient ischemic attack?,2014,yes,"We identified five quantitative shape descriptors of carotid FFT. This shape ""signature"" shows potential for supplementing conventional lesion characterization in cases of suspected FFT.",24507422,yes,yes,24507422
9854965,Dementia and aphasia in motor neuron disease: an underrecognised association?,1998,yes,"The prevalence of cognitive impairment in MND in this population based study of an unselected cohort was higher than has been previously reported. Language deficits, especially anomia, may be relatively frequent in the MND population. Aphasia in MND may be masked by dysarthria and missed if not specifically examined.",9854965,yes,yes,9854965
19131405,Diffusion-weighted echo-planar MR imaging of primary parotid gland tumors: is a prediction of different histologic subtypes possible?,2009,yes,"epiDWI has the potential to differentiate pleomorphic adenoma and myoepithelial adenomas from all other examined entities. Due to an overlap not only within the group of benign and malignant lesions but also between groups, diagnoses should not be addressed on the basis of ADC values solely. Therefore, further studies combining DWI, morphologic criteria, and probably other MR imaging techniques seem warranted.",19131405,yes,yes,19131405
18667100,Do risk factors for suicidal behavior differ by affective disorder polarity?,2009,no,Bipolarity does not independently influence risk of suicidal behavior or alter the influence of well-established suicide risk factors within affective disorders. Suicide risk assessment strategies may continue to appraise these common risk factors without regard to mood polarity.,18667100,no,yes,18667100
9191526,Multidisciplinary breast cancer clinics. Do they work?,1997,yes,"Although planning and operating a multidisciplinary clinic is not a new venture, to the best of the authors' knowledge, they have provided the first report demonstrating the benefits described above.",9191526,yes,yes,9191526
17601244,"Are there associations of health status, disease activity and damage in SLE patients?",2007,yes,"The present study, which is based on internationally accepted assessment tools for SLE patients, shows a significant relationship between increased disease activity and reduced physical function. This result emphasizes the importance of optimizing treatment aiming at reducing disease activity.",17601244,yes,yes,17601244
20608141,PSA repeatedly fluctuating levels are reassuring enough to avoid biopsy?,2009,no,"Our study demonstrates no difference in PC detection rate at repeat biopsy between patients with flu or si-PSA levels. PSA Slope, PSAV and PSADT were not found helpful tools in cancer detection.",20608141,no,no,20608141
25986020,Is zero central line-associated bloodstream infection rate sustainable?,2015,yes,"High-quality training, strict compliance with evidence-based guidelines, and thorough documentation is associated with significant reductions in CLABSIs. Mindful organizing may lead to a better understanding of what goes into a unit's ability to handle peak demands and sustain extraordinary performance in the long-term.",25986020,yes,no,25986020
15670262,"Is gastric electrical stimulation superior to standard pharmacologic therapy in improving GI symptoms, healthcare resources, and long-term health care benefits?",2005,yes,"We conclude that GES is more effective in improving long-term GI symptoms and costs, and decreasing use of healthcare resources than intensive medical therapy, in this sample of patients with the symptoms of GP followed for 3 years. Certain patients with GP form a high-risk group in terms of costs, quality of life, morbidity and mortality.",15670262,yes,yes,15670262
22900881,Should pulp chamber pulpotomy be seen as a permanent treatment?,2013,no,"Under the conditions of this study, pulpotomy offered a viable alternative to root canal treatment for teeth with vital pulps in the short term. However, there is insufficient clinical evidence to consider this technique for the treatment of every permanent tooth. Nevertheless, it should be considered as a potential alternative approach to be further developed for future applications.",22900881,no,no,22900881
11413427,Does transverse apex coincide with coronal apex levels (regional or global) in adolescent idiopathic scoliosis?,2001,no,This study demonstrated that the regional or global apex of a given curve is the most rotated level in only a minority of the curves. The most rotated level may be as far as two levels from the global apex and one level from the regional apex.,11413427,no,no,11413427
9602458,Does the Child Health Computing System adequately identify children with cerebral palsy?,1998,no,"Unless improvements are made in case ascertainment, case validation and recording activities, the evidence suggests that the CHCS will not be able to provide the same quality of information for needs assessment and surveillance of very low birthweight infants in relation to cerebral palsy as is provided by a specialist case register.",9602458,no,yes,9602458
17598882,Is breast cancer prognosis inherited?,2007,yes,Breast cancer prognosis of a woman predicts the survival in her first-degree relatives with breast cancer. Our novel findings suggest that breast cancer prognosis might be inherited.,17598882,yes,no,17598882
21190419,Does nuchal translucency thickness in the first trimester predict GDM onset during pregnancy?,2011,no,"NT thickness does not show a significative increase in those women who subsequently develop GDM. Therefore, NT assessment does not prove to be an useful ultrasound parameter for predicting GDM onset during pregnancy.",21190419,no,yes,21190419
16403186,Are the arginine vasopressin V1a receptor microsatellites related to hypersexuality in children with a prepubertal and early adolescent bipolar disorder phenotype?,2005,no,Preferential transmission of AVPR1A to hypersexual or uninhibited people-seeking probands was not supported.,16403186,yes,no,16403186
11888773,Stage I non-small cell lung carcinoma: really an early stage?,2002,no,"Despite advances in early diagnosis and surgical technique, 5-year survival of stage I non-small cell lung carcinoma remains low as compared to survival of other solid organ neoplasm. Tumour size<or=3cm, adenocarcinoma histologic type and negative bronchial resection margins were associated with a more favourable outcome in our patient population. More effective multimodality treatments are needed to increase survival rates.",11888773,yes,yes,11888773
25940336,Does Residency Selection Criteria Predict Performance in Orthopaedic Surgery Residency?,2016,yes,"We found that USMLE Step 2, number of honors in medical school clerkships, and AOA membership demonstrated the strongest correlations with resident performance. Our goal in analyzing these data was to provide residency programs at large a sense of which criteria may be ""high yield"" in ranking applicants by analyzing data from within our own pool of residents. Similar studies across a broader scope of programs are warranted to confirm applicability of our findings. The continually emerging complexities of the field of orthopaedic surgery lend increasing importance to future work on the appropriate selection and training of orthopaedic residents.",25940336,yes,yes,25940336
24014276,Optimism and survival: does an optimistic outlook predict better survival at advanced ages?,2013,yes,An optimistic outlook appears to be a significant predictor of survival among the oldest-old women. It may also be a significant predictor for men but the sample size is small.,24014276,yes,yes,24014276
18359123,Is it better to be big?,2008,no,"The employees believe the merger has neither generated economy of scale advantages nor substantial quality improvement. Instead, it seems more rewarding to promote cross-functional collaboration together with clinical specialisation. Needs for both integration and differentiation could thereby be fulfilled.",18359123,no,yes,21123461
26113007,Is arch form influenced by sagittal molar relationship or Bolton tooth-size discrepancy?,2015,no,"Arch form in a Saudi patient group is independent of gender, sagittal molar relationship, and Bolton discrepancy.",26113007,no,no,26113007
11838307,Cold knife conization vs. LEEP. Are they the same procedure?,2002,no,"In a prospective evaluation, cold knife cone specimens were 50% longer and 100% heavier than LEEP specimens.",11838307,no,no,11838307
18222909,Are pectins involved in cold acclimation and de-acclimation of winter oil-seed rape plants?,2008,yes,"The results show that the temperature-dependent modifications in pectin content and their methyl esterification degree correlate with changes in tensile strength of a leaf tissue, and in this way affect leaf expansion ability and its resistance to freezing and to fungus pathogens.",18222909,yes,yes,18222909
24747511,Updating emotional content in working memory: a depression-specific deficit?,2014,yes,"The results indicate that difficulties removing irrelevant material from working memory might be unique to depression, and the ability to inhibit irrelevant information is relatively preserved in social anxiety disorder.",24747511,yes,no,24747511
19836806,Should prostate specific antigen be adjusted for body mass index?,2009,no,"Consistent with prior studies, we found an inverse relationship between obesity and serum prostate specific antigen. However, the magnitude of the difference was small. Thus, adjusting prostate specific antigen for body mass index does not appear warranted.",19836806,no,yes,19836806
21801416,The effect of an intracerebroventricular injection of metformin or AICAR on the plasma concentrations of melatonin in the ewe: potential involvement of AMPK?,2011,yes,"Taken together, these results suggest a potential role for AMPK on the secretion of melatonin probably acting trough the paraventricular nucleus and/or directly in the pineal gland. We conclude that AMPK may act as a metabolic cue to modulate the rhythm of melatonin secretion.",21801416,yes,yes,21801416
25819796,Literacy after cerebral hemispherectomy: Can the isolated right hemisphere read?,2015,yes,"When cerebral hemispherectomy is performed to control seizures associated with very early (in utero) insult, it has been found that the remaining right hemisphere is still able to support reading and phonological processing skills that are normally mediated by the left hemisphere. Our results also suggest the existence of variability in individuals after hemispherectomy, even within groups having the same etiology and similar timing of insult.",25819796,yes,yes,25819796
18496363,Characterization of the gender dimorphism after injury and hemorrhagic shock: are hormonal differences responsible?,2008,no,The independent protective effect of female gender on multiple organ failure and nosocomial infection rates remains significant in both premenopausal and postmenopausal women when compared with similarly aged men. This is contrary to previous experimental studies and the known physiologic sex hormone changes that occur after menopause in women. These results suggest that factors other than sex hormones may be responsible for gender-based differences after injury.,18496363,no,no,18496363
14551704,Can communication with terminally ill patients be taught?,2003,yes,The realized communication skills courses resulted in relevant changes in communication behaviour and self-confidence of participants. Communication with terminally ill patients can be taught.,14551704,yes,yes,14551704
23234860,Delays in time to primary treatment after a diagnosis of breast cancer: does it impact survival?,2013,no,Time to primary treatment after a diagnosis of breast cancer had no impact on overall survival. Further studies on care before diagnosis are important in drawing up meaningful quality indicators.,23234860,yes,yes,23234860
22532370,Are increased carotid artery pulsatility and resistance indexes early signs of vascular abnormalities in young obese males?,,yes,"Our results suggest that depressed vessel compliance and increased vascular resistance are features of young, obese, normotensive subjects independently of and in addition to cardiovascular risk factors. As changes in arterial wall properties may be incipient in young obese subjects, future studies will be required to demonstrate whether early intervention such as diet and exercise in this population can improve vascular functions.",22532370,yes,yes,22532370
22656647,Are acceptance rates of a national preventive home visit programme for older people socially imbalanced?,2012,yes,"High socioeconomic status was associated with a higher acceptance rate of preventive home visits, but the association was attenuated by invitational procedures. The results indicate that the social inequality in acceptance of publicly offered preventive services might decrease if municipalities adopt more proactive invitational procedures.",22656647,yes,no,22656647
22683044,Does open access publishing increase the impact of scientific articles?,2013,yes,"Open access publishing and the Hirsch index of the first signing author increase the impact of scientific articles. The open access advantage is greater for the more highly cited articles, and appears in the 30-35 months after publication.",22683044,yes,yes,22683044
11566686,In vivo visualization of pyloric mucosal hypertrophy in infants with hypertrophic pyloric stenosis: is there an etiologic role?,2001,yes,"Mucosal redundancy is a constant associated finding in IHPS. Although the origin of the redundancy and a cause-and-effect relationship are difficult to establish, our findings support the hypothesis that hypergastrinemia may be implicated in the pathogenesis of IHPS, and suggest that mucosal thickening could be implicated as one of the initiating factors in its development.",11566686,yes,no,11566686
15502995,Does the early adopter of drugs exist?,2004,no,"Within drug groups, indicators of drug adoption, except for adoption time, correlate reasonably well. However, the theory that physicians' early adoption of new drugs is a personal trait independent of the type of drug could not be confirmed. The notion of the early-drug-adopting general practitioner may be mistaken.",15502995,yes,yes,15502995
24019262,Does high blood pressure reduce the risk of chronic low back pain?,2014,yes,"Results for low back pain are consistent with the theory of hypertension-associated hypalgesia, predicting diminished pain sensitivity with increasing blood pressure, possibly with modified reactions in people suffering from long-lasting pain.",24019262,no,no,24019262
23348330,Nasal fractures:  is closed reduction satisfying?,2013,yes,"Closed reduction is an easy and sufficient treatment for nasal fractures, especially for mild nasal fractures. Early intervention raises the patient satisfaction rate.",23348330,yes,yes,23348330
21658267,"Do improvements in outreach, clinical, and family and community-based services predict improvements in child survival?",2011,yes,"Our findings support the importance of increasing access to clinical services, certain outreach services and breastfeeding and, in Africa, of improving nutritional status. Integrated programs that emphasize these services may lead to substantial mortality declines.",21658267,yes,yes,21658267
28177278,Does spontaneous remission occur in polyarteritis nodosa?,2017,yes,This case illustrates the importance of considering PAN in the differential diagnosis of renal infarction with inflammatory syndrome and shows that spontaneous remission of renal PAN can occur. .,28177278,yes,no,28177278
20363841,Do symptoms predict COPD in smokers?,2010,no,"COPD is underdiagnosed in the United States. Symptoms are frequent in subjects with AO and increase their risk for COPD, but add little beyond age and smoking history to the predictive value of spirometry. In view of the high prevalence of symptoms and their poor predictive value, a simpler and more effective approach would be to screen older smokers.",20363841,yes,yes,20363841
19664156,Search engine as a diagnostic tool in difficult immunological and allergologic cases: is Google useful?,2009,yes,This Google-based search was useful to identify an appropriate diagnosis in complex immunological and allergic cases. Computing skills may help to get better results.,19664156,yes,yes,19664156
23356465,Uniformity of evidence-based treatments in practice?,2013,yes,This study adds to the growing body of literature documenting the importance of the individual therapist as an important factor in the change process.,23356465,no,no,26516021
22972546,Do approved doctors and medical referees in the UK agree when assessing a seafarer's fitness?,2012,no,This study found that there was poor agreement between the AD's decision and the subsequent MR's decision regarding the fitness of those seafarers who decided to appeal against the AD's initial assessment. The reasons for this are considered.,22972546,no,yes,22972546
21850494,Hepatorenal syndrome: are we missing some prognostic factors?,2012,yes,"We report for the first time ESLD etiology as a prognostic factor for survival. The renal function (expressed as serum creatinine) and urinary Na (<5 mEq/l) at the time of diagnosis were found to be associated with survival, suggesting that early treatment might increase survival.",21850494,yes,yes,21850494
20187289,Prescriptions as a proxy for asthma in children: a good choice?,2010,no,"When additional validation studies were taken into account, asthma medications were found to be prescribed not only for asthma but also for other respiratory diseases. In addition, not all children with current asthma had prescriptions. We therefore conclude that asthma medications are therefore not a good proxy for the disease.",20187289,no,no,20187289
20297950,Proof of concept study: does fenofibrate have a role in sleep apnoea syndrome?,2010,yes,The consistent direction of change in sleep indices in this proof-of-concept study may support further investigation of fenofibrate in moderate to severe sleep apnoea syndrome.,20297950,yes,yes,20297950
23735520,Can mental imagery functional magnetic resonance imaging predict recovery in patients with disorders of consciousness?,2013,yes,"The fMRI paradigm mental imagery displays a high concordance with the further clinical course of patients in a VS. All 5 patients in a VS who showed significant activation of ROIs had a favorable further course until the end of the observation period. We therefore propose the term ""functional minimally conscious state"" for these patients. They may benefit from rehabilitation treatment. In cases where no significant activation was seen, the method has no prognostic value. Prediction of the clinical course of patients in an MCS by fMRI was considerably less accurate than in patients in a VS.",23735520,yes,yes,23735520
10759659,The nurse cystoscopist: a feasible option?,2000,yes,A UNP can be trained to perform cystoscopy and detect suspicious lesions as accurately as can a consultant urologist. Legal and training issues in implementation are important.,10759659,yes,yes,10759659
25592625,Is cardiovascular evaluation necessary prior to and during beta-blocker therapy for infantile hemangiomas?,2015,no,Pretreatment ECG is of limited value for patients with an unremarkable cardiovascular history and a normal heart rate and blood pressure. Hypotension may occur during treatment.,25592625,yes,yes,25592625
12595848,Is specialty care associated with improved survival of patients with congestive heart failure?,2003,yes,We found an improved survival associated with cardiologist care and a mixture of general practitioner and cardiologist care compared with general practitioner care. The pattern of outpatient care may therefore be important for the survival of patients with CHF.,12595848,yes,yes,12595848
20064872,Can the prognosis of polymyalgia rheumatica be predicted at disease onset?,2010,yes,A higher PV in PMR increases the risk of prolonged steroid therapy and late GCA. Female sex and particular HLA alleles may increase the risk of late GCA. Starting patients on>15 mg prednisolone is associated with a prolonged steroid duration.,20064872,no,no,27991408
23588461,Should ascitis volume and anthropometric measurements be estimated in hospitalized alcoholic cirrotics?,,yes,"A greater association than hitherto acknowledged, between ascitis volume and anthropometric measurements from one side, and long-term rehospitalization and mortality from the other, was demonstrated in male stable alcoholic cirrhotics. Further studies with alcoholic and other modalities of cirrhosis including women are recommended.",23588461,yes,yes,23588461
18019905,The use of audit to identify maternal mortality in different settings: is it just a difference between the rich and the poor?,2007,no,"Differences in maternal mortality are more than just differences between the rich and poor. Acknowledging the magnitude of maternal mortality and harnessing a strong political will to tackle the issues are important factors. However, there is no single, general solution to reduce maternal mortality, and identification of problems needs to be promoted through audit, both national and local.",18019905,no,no,18019905
25859857,Could the extent of lymphadenectomy be modified by neoadjuvant chemotherapy in cervical cancer?,2015,no,"The frequency and topographic distribution of LNM are not modified by NACT, and clinical non-responders showed more involved LNs. A systemic and extensive lymphadenectomy should be performed in patients treated with NACT plus surgery regardless of the response to NACT.",25859857,no,yes,25859857
26418796,Do Wound Cultures Give Information About the Microbiology of Blood Cultures in Severe Burn Patients?,2016,yes,"When there is clinical suspicion of sepsis, appropriate empirical systemic antibiotic therapy should be broad spectrum and should rely on the susceptibility of the organisms from recent cultures of the burn wound surface, until the blood cultures results are completed.",26418796,yes,no,26418796
22825590,Are behavioural risk factors to be blamed for the conversion from optimal blood pressure to hypertensive status in Black South Africans?,2012,yes,"During the 5 years, 24% of Africans with optimal BP developed hypertension. The surge in hypertension in Africa is largely explained by modifiable risk factors. Public health strategies should focus aggressively on lifestyle to prevent a catastrophic burden on the national health system.",22825590,yes,yes,22825590
18832500,Systematic use of patient-rated depression severity monitoring: is it helpful and feasible in clinical psychiatry?,2008,yes,"The study findings suggest that adopting measurement-based care, such as using the PHQ-9, is achievable, even in practices with limited resources.",18832500,yes,yes,18832500
18955431,Treadmill training post stroke: are there any secondary benefits?,,yes,"A task-specific intervention designed to improve gait speed may potentially provide secondary benefits by positively impacting depression, mobility and social participation for people post stroke.",18955431,yes,yes,18955431
9550200,Does lunar position influence the time of delivery?,1998,yes,"In this paper the effect of lunar phases on the time of delivery is shown. This influence seems to be especially relevant in the case of multiparae and plurigravidae. Nevertheless, it is too weak to allow for prediction regarding the days with the highest frequency of deliveries.",9550200,yes,yes,9550200
10135926,Is oral endotracheal intubation efficacy impaired in the helicopter environment?,1994,yes,Oral endotracheal intubation in the in-flight setting of the BO-105 helicopter takes approximately twice as long as intubation in a ground setting. The results support pre-flight intubation of patients who appear likely to require urgent intubation during air medical transport in the BO-105 helicopter.,10135926,yes,yes,10135926
24139705,Telemedicine and type 1 diabetes: is technology per se sufficient to improve glycaemic control?,2014,yes,"The Diabeo system improved glycaemic control in both high and low users who avidly used the IDA function, while the greatest improvement was seen in the low users who had the motivational support of teleconsultations.",24139705,yes,no,24139705
16253970,Is controlled ovarian stimulation in intrauterine insemination an acceptable therapy in couples with unexplained non-conception in the perspective of multiple pregnancies?,2006,no,"In COS-IUI for unexplained non-conception, induction of more than one follicle did not improve the ongoing PR, but increased the risk of multiple pregnancies. Multiple PR remained high in the first four cycles with multifollicular stimulation. Therefore, in order to reduce the number of multiple pregnancies, in all IUI cycles for unexplained non-conception monofollicular growth should be aimed at.",16253970,yes,yes,16253970
14745753,Is half-dose contrast-enhanced three-dimensional MR angiography sufficient for the abdominal aorta and pelvis?,2004,yes,Half-dose MR angiography using diluted contrast medium injected at a rate of 1 mL/second depicted the abdominal aorta and its branches as clearly as using a full single dose.,14745753,yes,yes,14745753
27078715,Digital Tomosynthesis: A Viable Alternative to Noncontrast Computed Tomography for the Follow-Up of Nephrolithiasis?,2016,yes,"We found DT to be a comparable imaging modality to NCCT for the detection of intrarenal stones, without a significant effect from stone size and BMI and adequate reproducibility between multiple readers. DT appears to be an ideal alternative for following patients with nephrolithiasis due to its acceptable stone detection rates, low radiation exposure, and decreased cost compared to NCCT.",27078715,yes,yes,27078715
15939071,High cumulative insulin exposure: a risk factor of atherosclerosis in type 1 diabetes?,2005,yes,These findings provide evidence that a high cumulative dose of regular insulin is a risk factor for atherosclerosis.,15939071,yes,yes,15939071
11926574,Are hepatitis G virus and TT virus involved in cryptogenic chronic liver disease?,2002,no,"In Southern Italy, hepatitis G virus infection is widespread among patients with chronic hepatitis, independently of parenteral risk factors. Its frequency in subjects with cryptogenic liver disease parallels that observed in hepatitis C virus chronic liver disease, thus ruling out an aetiologic role of hepatitis G virus. TT virus infection is uncommon in patients with cryptogenic or hepatitis C virus-related liver disease who do not have a history of parenteral exposure.",11926574,yes,yes,11926574
18594195,Do older patients who refuse to participate in a self-management intervention in the Netherlands differ from older patients who agree to participate?,2008,yes,"As in many studies, the refusal rate in this study is high, and seems to be related to physical mobility restrictions, travel distance and, partly, to availability of emotional support. These findings may be used to make the recruitment process more effective - for example, by offering transport to the location of the intervention.",18594195,yes,yes,18594195
25614468,Preoperative locoregional staging of gastric cancer: is there a place for magnetic resonance imaging?,2016,no,"Our prospective study confirmed the leading role of EUS and MDCT in the staging of gastric cancer and did not prove, at present, the value of the clinical use of MRI.",25614468,yes,yes,25614468
19653482,Do familiar teammates request and accept more backup?,2009,yes,Transactive memory theory extends to high-stress environments in which members' expertise is highly overlapping. Teammates' shared mental models about one another increase the likelihood that they will request and accept backup.,19653482,yes,yes,19653482
11380492,Transsphenoidal pituitary surgery in Cushing's disease: can we predict outcome?,2001,yes,"Transsphenoidal pituitary surgery is a safe method of treatment in patients with Cushing's disease. Operative findings, radiological and histological findings, together with early postoperative serum cortisol and urine free cortisol estimates may identify failures in treatment. Alternative treatment might then be required for these patients. Because of the risk of late relapse, patients require life-long follow-up.",11380492,yes,yes,11380492
16296668,Can bedside assessment reliably exclude aspiration following acute stroke?,1998,no,"Bedside assessment of swallowing lacks the necessary sensitivity to be used as a screening instrument in acute stroke, but there are concerns about the use of videofluoroscopy as a gold standard. The relative importance of aspiration and bedside assessment in predicting complications and outcome needs to be studied.",16296668,no,yes,16296668
19520213,Are UK radiologists satisfied with the training and support received in suspected child abuse?,2009,no,"The survey shows significant dissatisfaction amongst consultant radiologists with the current service, confirms a low number of paediatric radiologists taking on this work, and suggests the potential to increase numbers of radiology child abuse experts by 27% if given improved training and support. Appropriate service and education strategies should be implemented.",19520213,no,no,19520213
19931500,Can the condition of the cell microenvironment of mediastinal lymph nodes help predict the risk of metastases in non-small cell lung cancer?,2009,yes,The preliminary results of this study suggest that this approach may be helpful as an independent tumor staging factor. It is also worth noting that part of the staging process could also be based on features describing the immune cells in the peripheral blood.,19931500,no,yes,27554179
18378554,Are wandering and physically nonaggressive agitation equivalent?,2008,no,"Findings depict wandering and PNA as overlapping, but nonequivalent phenomena. Evidence supporting construct validity of wandering was more robust than that for PNA. Results have implications for accuracy in scientific and clinical detection and labeling of wandering and agitation.",18378554,yes,no,18378554
17306983,Is size-reducing ascending aortoplasty with external reinforcement an option in modern aortic surgery?,2007,yes,"As demonstrated in this study, size reduction of the ascending aorta using aortoplasty with external reinforcement is a safe procedure with excellent long-term results. It is a therapeutic option in modern aortic surgery in patients with poststenotic dilatation of the aorta without impairment of the sinotubular junction of the aortic valve and root.",17306983,yes,yes,17306983
26879871,Does depression diagnosis and antidepressant prescribing vary by location?,2016,yes,"New depression diagnosis and antidepressant use was shown to be less likely in areas of higher own-ethnic density for some, but not all, ethnic groups.",26879871,yes,no,23497210
16962519,Volume change of uterine myomas during pregnancy: do myomas really grow?,,no,"Contrary to common belief, we found that uterine myomas commonly decrease in volume over the course of pregnancy.",16962519,no,yes,16962519
17704864,Is laparoscopic adrenalectomy safe and effective for adrenal masses larger than 7 cm?,2008,yes,"LA for adrenal masses larger than 7 cm is a safe and feasible technique, offering successful outcome in terms of intraoperative and postoperative morbidity, hospital stay and cosmesis for patients; it seems to replicate open surgical oncological principles demonstrating similar outcomes as survival rate and recurrence rate, when adrenal cortical carcinoma were treated. The main contraindication for this approach is the evidence, radiologically and intraoperatively, of local infiltration of periadrenal tissue.",17704864,yes,yes,17704864
18307476,Upstream solutions: does the supplemental security income program reduce disability in the elderly?,2008,yes,"Income support policy may be a significant new lever for improving population health, especially that of lower-income persons. Even though the findings are robust, further analyses are needed to confirm their reliability. Future research should examine a variety of different income support policies, as well as whether a broader range of social and economic policies affect health.",18307476,yes,yes,18307476
15151701,Profiling quality of care: Is there a role for peer review?,2004,yes,"For conditions with a well-developed quality of care evidence base, such as hypertension and diabetes, a single structured implicit review to assess the quality of care over a period of time is moderately reliable. This method could be a reasonable complement or alternative to explicit indicator approaches for assessing and comparing quality of care. Structured implicit review, like explicit quality measures, must be used more cautiously for illnesses for which the evidence base is less well developed, such as COPD and acute, short-course illnesses.",15151701,yes,yes,15151701
26399179,Eyelid-parotid metastasis: do we screen for coexisting masses?,2015,yes,"These cases illustrate that tumours involving eyelids and parotid glands can present simultaneously or sequentially, and either of these structures could be the focus of primary or metastatic tumour. The important message for oculoplastic and parotid surgeons is to routinely assess both the periocular and parotid area when patients present with a mass in either structure.",26399179,yes,yes,26399179
21889895,Will CT ordering practices change if we educate residents about the potential effects of radiation exposure?,2011,no,"Most clinicians did not change their CT scan ordering after receiving education about radiation from a radiologist. Radiation education allowed clinicians to discuss CT benefits and risks with their patients and to choose appropriate CT protocols. Referring physician groups are interested in this topic, and radiologists should be encouraged to give radiation lectures to them.",21889895,yes,yes,21889895
21569408,Does context matter for the relationship between deprivation and all-cause mortality?,2011,no,The homogeneity we found in the deprivation-mortality relationship across the regions of Scotland and the absence of a contextualized effect of region highlights the importance of taking a broader strategic policy that can combat the toxic impacts of socio-economic deprivation on health. Focusing on a few specific places (e.g. 15% of the poorest areas) to concentrate resources might be a good start but the impact of socio-economic deprivation on mortality is not restricted to a few places. A comprehensive strategy that can be sustained over time might be needed to interrupt the linkages between poverty and mortality.,21569408,yes,yes,21569408
23025584,Does stress increase imitation of drinking behavior?,2013,no,"Generally, it appears that among young male adults, imitation of alcohol consumption is a robust phenomenon not dependent on individual stress levels.",23025584,no,yes,23025584
23587089,School food policy at Dutch primary schools: room for improvement?,2013,yes,"Dutch primary schools could play a more important role in fostering healthy eating habits among children. The school food policy could be improved by clearly formulating food rules, simplifying supervision of the food rules, and defining how to enforce the food rules. In addition, the school food policy will only influence children's dietary behaviour if both the school and the parents support the policy.",23587089,yes,yes,23587089
15539888,Is the atopy patch test with house dust mites specific for atopic dermatitis?,2004,yes,These observations lead to conclude that the APT with HDM is positive also in non-AD subjects but it is probably more specific for AD.,15539888,yes,no,15539888
23096188,Juvenile osteochondritis dissecans: is it a growth disturbance of the secondary physis of the epiphysis?,2012,yes,"MRI of children with OCD consistently showed secondary physis disruption, overlying chondroepiphysial widening, and subchondral bone edema. We suggest that disruption of normal endochondral ossification may be associated with juvenile OCD.",23096188,yes,yes,23096188
21881325,Do preoperative statins reduce atrial fibrillation after coronary artery bypass grafting?,2011,yes,Our study indicated that preoperative statin therapy seems to reduce AF development after CABG.,21881325,yes,yes,21881325
16872243,Can decisional algorithms replace global introspection in the individual causality assessment of spontaneously reported ADRs?,2006,no,"Decisional algorithms are sensitive methods for the detection of ADRs, but they present poor specificity. A reference method was not identified. Algorithms do not replace GI and are not definite alternatives in the individual causality assessment of suspected ADRs.",16872243,no,no,16872243
